cust_id,target
id00503177,0.29125
id00503178,0.28
id00503180,0.3
id00503181,0.09
id00503182,0.22
id00503183,0.31
id00503187,0.08
id00503189,0.16
id00503193,0.33
id00503199,0.13
id00503201,0.11
id00503208,0.21
id00503211,0.31
id00503212,0.32
id00503214,0.11
id00503215,0.21
id00503216,0.31
id00503217,0.21
id00503219,0.09
id00503220,0.18
id00503231,0.34
id00503232,0.3
id00503233,0.3
id00503236,0.13
id00503239,0.17
id00503240,0.29
id00503241,0.22
id00503245,0.3
id00503248,0.21
id00503250,0.3
id00503251,0.29
id00503254,0.28
id00503257,0.17
id00503259,0.3
id00503261,0.33
id00503266,0.33
id00503267,0.24
id00503269,0.35
id00503270,0.3
id00503271,0.23
id00503273,0.35
id00503275,0.1
id00503276,0.21
id00503278,0.38
id00503281,0.37
id00503282,0.32
id00503283,0.38
id00503286,0.38
id00503288,0.34
id00503289,0.19
id00503290,0.33
id00503291,0.32
id00503294,0.32
id00503296,0.1
id00503299,0.31
id00503300,0.11
id00503303,0.1
id00503304,0.16
id00503308,0.12
id00503313,0.22
id00503314,0.09
id00503317,0.38
id00503318,0.14
id00503319,0.24
id00503326,0.36
id00503328,0.09
id00503329,0.33
id00503332,0.16
id00503333,0.13
id00503334,0.14
id00503336,0.11
id00503338,0.26
id00503340,0.12
id00503342,0.18
id00503346,0.16
id00503347,0.3
id00503350,0.24
id00503356,0.35
id00503357,0.3
id00503360,0.3
id00503366,0.12
id00503367,0.47
id00503371,0.33
id00503373,0.26
id00503374,0.27
id00503375,0.2
id00503376,0.22
id00503377,0.33
id00503378,0.31
id00503381,0.25
id00503386,0.2
id00503387,0.31
id00503390,0.31
id00503391,0.3
id00503392,0.3
id00503398,0.16
id00503403,0.26
id00503405,0.18
id00503407,0.3
id00503409,0.28
id00503416,0.19
id00503417,0.26
id00503418,0.22
id00503422,0.5
id00503423,0.25
id00503425,0.23
id00503426,0.1
id00503427,0.15
id00503429,0.23
id00503430,0.32
id00503433,0.17
id00503437,0.27125
id00503440,0.33
id00503443,0.29
id00503446,0.28
id00503449,0.29
id00503453,0.28
id00503455,0.36
id00503456,0.32
id00503458,0.13
id00503459,0.13
id00503460,0.29
id00503461,0.3
id00503462,0.3
id00503464,0.32
id00503465,0.33
id00503467,0.14
id00503468,0.42
id00503469,0.25
id00503472,0.13
id00503473,0.28
id00503475,0.39
id00503478,0.41
id00503482,0.24
id00503485,0.12
id00503486,0.39
id00503487,0.29
id00503489,0.18
id00503490,0.25
id00503491,0.25
id00503497,0.29
id00503498,0.27
id00503501,0.24
id00503502,0.29
id00503504,0.31
id00503505,0.28
id00503508,0.27
id00503509,0.15
id00503510,0.27
id00503511,0.24
id00503514,0.3
id00503516,0.63
id00503518,0.33
id00503521,0.15
id00503523,0.28
id00503525,0.17
id00503527,0.28
id00503532,0.18
id00503541,0.12
id00503548,0.37
id00503552,0.12
id00503555,0.15
id00503557,0.37
id00503558,0.2
id00503559,0.17
id00503560,0.28
id00503564,0.38
id00503568,0.17
id00503569,0.26
id00503570,0.32
id00503572,0.29
id00503575,0.33
id00503576,0.39
id00503579,0.2
id00503584,0.35
id00503585,0.34
id00503591,0.25
id00503594,0.3
id00503598,0.1
id00503599,0.16
id00503601,0.32
id00503603,0.34
id00503610,0.21
id00503613,0.24
id00503617,0.31
id00503618,0.15
id00503619,0.23
id00503620,0.28
id00503625,0.3
id00503629,0.18
id00503635,0.2
id00503637,0.41
id00503638,0.28
id00503640,0.27
id00503645,0.24
id00503646,0.14
id00503649,0.32
id00503650,0.26
id00503653,0.31
id00503654,0.35
id00503659,0.21
id00503666,0.58
id00503669,0.14
id00503672,0.26
id00503674,0.1
id00503676,0.25
id00503678,0.25
id00503679,0.29
id00503684,0.17
id00503689,0.3
id00503693,0.13
id00503694,0.54
id00503695,0.1
id00503706,0.29
id00503710,0.26
id00503711,0.1
id00503716,0.18
id00503721,0.37
id00503722,0.31
id00503723,0.2
id00503726,0.23
id00503727,0.29
id00503732,0.24
id00503734,0.12
id00503735,0.36
id00503741,0.38
id00503742,0.15
id00503744,0.26
id00503745,0.18
id00503746,0.3
id00503749,0.27
id00503753,0.37
id00503754,0.32
id00503755,0.18
id00503762,0.22
id00503763,0.44
id00503766,0.17
id00503768,0.24
id00503770,0.13
id00503772,0.51
id00503774,0.36
id00503777,0.24
id00503778,0.2
id00503780,0.2
id00503782,0.18
id00503784,0.36
id00503786,0.35
id00503791,0.25
id00503792,0.18
id00503794,0.28
id00503799,0.21
id00503800,0.32
id00503803,0.3
id00503804,0.36
id00503806,0.25
id00503809,0.47
id00503810,0.3
id00503817,0.24
id00503819,0.4
id00503820,0.34
id00503823,0.21
id00503824,0.12
id00503826,0.21
id00503828,0.36
id00503832,0.17
id00503833,0.41
id00503834,0.35
id00503836,0.5
id00503838,0.29
id00503840,0.26
id00503842,0.48
id00503845,0.24
id00503846,0.29
id00503849,0.15
id00503854,0.23
id00503857,0.38
id00503859,0.12
id00503861,0.21
id00503868,0.39
id00503869,0.2
id00503873,0.23
id00503877,0.43
id00503878,0.24
id00503879,0.38
id00503880,0.23
id00503885,0.26
id00503887,0.42
id00503888,0.16
id00503893,0.21
id00503898,0.35
id00503903,0.16
id00503905,0.35
id00503908,0.13
id00503911,0.25
id00503916,0.33
id00503921,0.32
id00503922,0.34
id00503923,0.29
id00503929,0.33
id00503930,0.4
id00503935,0.3
id00503936,0.41
id00503939,0.41
id00503940,0.48
id00503945,0.15
id00503948,0.24
id00503951,0.32
id00503955,0.12
id00503956,0.32
id00503957,0.29
id00503958,0.42
id00503966,0.15
id00503967,0.22
id00503978,0.48
id00503982,0.34
id00503987,0.2
id00503989,0.25
id00503990,0.28
id00503992,0.24
id00503993,0.3
id00503997,0.25
id00504005,0.39
id00504006,0.16
id00504010,0.15
id00504011,0.18
id00504015,0.23
id00504017,0.22
id00504019,0.15
id00504020,0.18
id00504023,0.29
id00504025,0.27
id00504028,0.26
id00504029,0.38
id00504031,0.24
id00504038,0.28
id00504040,0.33
id00504041,0.24
id00504043,0.29
id00504047,0.54
id00504049,0.29
id00504053,0.33
id00504054,0.39
id00504055,0.21
id00504059,0.34
id00504061,0.21
id00504062,0.2
id00504066,0.26
id00504067,0.38
id00504068,0.37
id00504071,0.48
id00504075,0.27
id00504076,0.15
id00504079,0.32
id00504082,0.32
id00504089,0.26
id00504095,0.29
id00504102,0.29
id00504104,0.35
id00504106,0.41
id00504109,0.16
id00504110,0.31
id00504111,0.26
id00504112,0.33
id00504113,0.28
id00504114,0.13
id00504117,0.23
id00504118,0.16
id00504122,0.23
id00504126,0.33
id00504128,0.3
id00504133,0.27
id00504136,0.4
id00504140,0.27
id00504143,0.17
id00504146,0.27
id00504147,0.35
id00504148,0.18
id00504150,0.19
id00504151,0.34
id00504152,0.27
id00504153,0.49
id00504155,0.27
id00504159,0.36
id00504160,0.31
id00504161,0.31
id00504165,0.46
id00504166,0.44
id00504168,0.25
id00504170,0.47
id00504171,0.39
id00504174,0.16
id00504175,0.38
id00504177,0.32
id00504180,0.27
id00504181,0.48
id00504183,0.18
id00504190,0.22
id00504191,0.23
id00504194,0.31
id00504195,0.22
id00504197,0.25
id00504199,0.41
id00504200,0.29
id00504201,0.25
id00504203,0.08
id00504207,0.36
id00504211,0.28
id00504212,0.31
id00504216,0.2
id00504219,0.25
id00504221,0.35
id00504229,0.4
id00504232,0.27
id00504238,0.3
id00504242,0.31
id00504243,0.34
id00504245,0.24
id00504250,0.19
id00504251,0.36
id00504253,0.27
id00504256,0.26
id00504258,0.27
id00504260,0.1
id00504262,0.16
id00504267,0.29
id00504272,0.14
id00504274,0.26
id00504279,0.22
id00504284,0.4
id00504286,0.24
id00504287,0.29
id00504290,0.19
id00504292,0.15
id00504296,0.37
id00504297,0.29
id00504299,0.32
id00504302,0.14
id00504304,0.34
id00504306,0.47
id00504307,0.36
id00504312,0.29
id00504315,0.22
id00504318,0.4
id00504319,0.33
id00504320,0.3
id00504326,0.25
id00504328,0.21
id00504329,0.4
id00504332,0.39
id00504334,0.14
id00504339,0.35
id00504340,0.42
id00504341,0.35
id00504347,0.39
id00504348,0.32
id00504349,0.09
id00504353,0.43
id00504355,0.29
id00504356,0.18
id00504359,0.31
id00504360,0.4
id00504362,0.18
id00504363,0.19
id00504365,0.17
id00504367,0.3
id00504368,0.32
id00504371,0.18
id00504374,0.44
id00504375,0.38
id00504379,0.32
id00504380,0.2
id00504381,0.09
id00504385,0.17
id00504387,0.3
id00504389,0.23
id00504395,0.35
id00504397,0.42
id00504400,0.42
id00504403,0.13
id00504404,0.3
id00504405,0.34
id00504415,0.37
id00504419,0.38
id00504423,0.17
id00504424,0.38
id00504425,0.43
id00504426,0.21
id00504427,0.27
id00504432,0.38
id00504434,0.25
id00504437,0.16
id00504438,0.33
id00504442,0.23
id00504443,0.36
id00504444,0.35
id00504447,0.35
id00504451,0.32
id00504453,0.42
id00504458,0.37
id00504470,0.26
id00504474,0.4
id00504477,0.26
id00504480,0.32
id00504481,0.19
id00504484,0.34
id00504489,0.23
id00504490,0.44
id00504493,0.27
id00504494,0.34
id00504497,0.15
id00504498,0.32
id00504500,0.38
id00504503,0.2
id00504504,0.41
id00504505,0.14
id00504506,0.23
id00504507,0.24
id00504510,0.41
id00504513,0.31
id00504515,0.2
id00504517,0.2
id00504519,0.31
id00504520,0.39
id00504523,0.23
id00504527,0.32
id00504529,0.16
id00504530,0.22
id00504531,0.38
id00504532,0.29
id00504533,0.3
id00504534,0.28
id00504535,0.37
id00504536,0.11
id00504538,0.41
id00504543,0.34
id00504550,0.4
id00504552,0.42
id00504553,0.31
id00504558,0.37
id00504563,0.21
id00504565,0.25
id00504567,0.4
id00504569,0.12
id00504576,0.42
id00504577,0.21
id00504578,0.35
id00504579,0.4
id00504582,0.59
id00504585,0.26
id00504586,0.35
id00504592,0.29
id00504593,0.27
id00504594,0.28
id00504595,0.28
id00504597,0.36
id00504599,0.31
id00504605,0.15
id00504606,0.12
id00504608,0.28
id00504609,0.24
id00504611,0.36
id00504615,0.48
id00504617,0.47
id00504620,0.29
id00504622,0.22
id00504625,0.39
id00504627,0.21
id00504628,0.09
id00504630,0.31
id00504631,0.21
id00504637,0.36
id00504638,0.28
id00504640,0.29
id00504645,0.34
id00504648,0.39
id00504650,0.49
id00504653,0.33
id00504657,0.26
id00504662,0.07
id00504663,0.37
id00504668,0.21
id00504669,0.31
id00504670,0.25
id00504671,0.16
id00504672,0.18
id00504678,0.18
id00504679,0.26
id00504681,0.12
id00504683,0.31
id00504685,0.1
id00504686,0.11
id00504687,0.18
id00504691,0.33
id00504692,0.26
id00504694,0.42
id00504695,0.12
id00504697,0.48
id00504700,0.24
id00504701,0.38
id00504703,0.47
id00504705,0.41
